trap_name,start_date,end_date,latitude,longitude,AMT,trapping_effort,species,females,year,month,week,TM,TX,TN,HRM,PPT,mwime,TM7,TM14,TM21,TX7,TX14,TX21,TN7,TN14,TN21,HRM7,HRM14,HRM21,PPT7,PPT14,PPT21,mwi7,mwi14,mwi21,l0gdd,l7gdd,l14gdd,l21gdd,trap_type,land_use
A_SP_DA_1,2020-06-13T00:00:00Z,2020-06-14T00:00:00Z,42.369684,2.83061,0,1,culex,1,2020,6,24,19.1,25.3,12.4,71.5,2.6,0.4518181818181819,18.35714285714286,18.62142857142857,19.05238095238095,24.58571428571429,24.26428571428571,25.04761904761905,12.41428571428571,13.01428571428572,13.06190476190476,72,78,74.57142857142857,13.9,33.4,33.4,0.3498181818181819,0.4847272727272728,0.4710476190476191,17.7,67.6,129.75,200.4,BG sentinel,urban_area
A_SP_DA_1,2020-06-14T00:00:00Z,2020-06-15T00:00:00Z,42.369684,2.83061,0,1,culex,2,2020,6,24,20.25,25.4,13.85,68.5,0.6,0.5181818181818182,18.85714285714286,18.67142857142857,18.99523809523809,24.92857142857143,24.3,24.91904761904762,12.3,13.00714285714286,12.90476190476191,70,76.92857142857143,75.85714285714286,5.8,33.4,33.4,0.3876363636363637,0.4719480519480521,0.4944242424242424,19.25,68.15,129.6,198.8,BG sentinel,urban_area
A_SP_DA_1,2020-06-15T00:00:00Z,2020-06-16T00:00:00Z,42.369684,2.83061,0,1,culex,0,2020,6,24,19.6,24.1,14.65,75.5,3.7,0.553818181818182,19.34285714285715,18.72142857142857,19,25.48571428571429,24.39285714285714,24.84761904761904,12.87142857142857,12.90714285714286,13.07142857142857,70.28571428571429,75.64285714285714,76.47619047619048,6.1,28.6,34,0.434909090909091,0.4522337662337664,0.5056796536796538,18.75,70.9,131.75,197.75,BG sentinel,urban_area
A_SP_DA_1,2020-06-16T00:00:00Z,2020-06-17T00:00:00Z,42.369684,2.83061,0,1,culex,0,2020,6,24,17.85,22.7,13.2,83.5,15.1,0.4456363636363637,19.44285714285715,18.65714285714286,18.93333333333333,25.3,24.29285714285714,24.49523809523809,13.4,12.79285714285714,13.20476190476191,73.85714285714286,75.28571428571429,77.23809523809524,9.2,31.4,37.1,0.4904415584415585,0.4363116883116885,0.5108051948051949,15.9,72.4,129.25,196.3,BG sentinel,urban_area
A_SP_DA_1,2020-06-17T00:00:00Z,2020-06-18T00:00:00Z,42.369684,2.83061,0,1,culex,1,2020,6,25,16.85,22.35,12.75,86.5,12.7,0.3125454545454547,19.25714285714286,18.45714285714286,18.76666666666667,25,24.22857142857143,24.23809523809524,13.54285714285714,12.7,13.16190476190476,76.28571428571429,75.21428571428571,77.9047619047619,19.3,40.7,49.1,0.4883116883116884,0.4023636363636365,0.4987705627705628,15.1,73.2,127.35,193.6,BG sentinel,urban_area
A_SP_DA_1,2020-06-18T00:00:00Z,2020-06-19T00:00:00Z,42.369684,2.83061,0,1,culex,0,2020,6,25,17.75,22.55,12.55,83.5,0.7999999999999999,0.4194545454545456,19.02857142857143,18.47142857142857,18.67142857142857,24.68571428571429,24.15714285714285,24.11904761904762,13.45714285714286,12.79285714285714,13.12380952380953,76.57142857142857,75.07142857142857,78.14285714285714,19,30.3,49.8,0.451948051948052,0.4040259740259742,0.4854372294372295,15.1,72.25,125.85,190.05,BG sentinel,urban_area
A_SP_DA_1,2020-06-19T00:00:00Z,2020-06-20T00:00:00Z,42.369684,2.83061,0,1,culex,0,2020,6,25,19.9,25.1,13.05,77.5,0.1,0.5896363636363637,18.54285714285714,18.47857142857143,18.63333333333333,23.87142857142857,24.02142857142857,24.0047619047619,13.07142857142857,12.81428571428571,13.13809523809524,78,75.64285714285714,78.38095238095238,19.1,30.4,49.9,0.4515844155844157,0.4125194805194807,0.483930735930736,18.15,71.25,126.4,188.8,BG sentinel,urban_area
A_SP_DA_1,2020-06-20T00:00:00Z,2020-06-21T00:00:00Z,42.369684,2.83061,0,1,culex,0,2020,6,25,22.35,28.35,14.7,69,0,0.5272727272727272,18.97142857142857,18.66428571428571,18.73809523809524,23.98571428571429,24.28571428571428,24.17142857142857,13.34285714285714,12.87857142857143,13.12380952380953,78.14285714285714,75.07142857142857,78.04761904761905,16.5,30.4,49.9,0.4887272727272728,0.4192727272727274,0.4860606060606061,23,69.7,128.25,190.4,BG sentinel,urban_area
A_SP_DA_1,2020-06-21T00:00:00Z,2020-06-22T00:00:00Z,42.369684,2.83061,0,1,culex,1,2020,6,25,24.65,30.35,16.85,55,0,0.2625454545454544,19.47142857142857,19.16428571428571,18.93809523809524,24.74285714285714,24.83571428571429,24.44761904761905,13.72857142857143,13.01428571428572,13.24761904761905,77.28571428571429,73.64285714285714,77.04761904761905,16.5,22.3,49.9,0.4731428571428572,0.4303896103896105,0.4723463203463204,26.85,73.25,132.75,194.2,BG sentinel,urban_area
A_SP_DA_1,2020-06-22T00:00:00Z,2020-06-23T00:00:00Z,42.369684,2.83061,0,1,culex,0,2020,6,25,24.05,29.15,17.25,62,0,0.3898181818181817,20.22857142857143,19.78571428571428,19.22380952380952,25.4,25.44285714285714,24.72857142857143,14.2,13.53571428571429,13.33809523809524,74.28571428571429,72.28571428571429,75.19047619047619,15.9,22,44.5,0.4156883116883117,0.4252987012987014,0.4400519480519481,26.1,78.85,139.15,200,BG sentinel,urban_area
A_SP_DA_1,2020-06-23T00:00:00Z,2020-06-24T00:00:00Z,42.369684,2.83061,0,1,culex,1,2020,6,25,22.3,27.2,16.2,80,0,0.7272727272727273,20.74285714285714,20.09285714285715,19.35238095238095,26.18571428571429,25.74285714285714,24.92380952380952,14.47142857142857,13.93571428571429,13.35238095238095,73.42857142857143,73.64285714285714,74.66666666666667,12.8,22,44.2,0.4262857142857143,0.4583636363636364,0.4329696969696971,23.4,80.1,144.35,201.2,BG sentinel,urban_area
A_SP_DA_1,2020-06-24T00:00:00Z,2020-06-25T00:00:00Z,42.369684,2.83061,0,1,culex,0,2020,6,26,21.95,26.05,16.6,86.5,0,0.8454545454545455,21.5,20.37857142857143,19.47142857142857,26.68571428571429,25.84285714285715,25.04761904761905,15.05714285714286,14.3,13.48571428571429,73.28571428571429,74.78571428571429,74.57142857142857,0.7999999999999999,20.1,41.5,0.4961558441558442,0.4922337662337663,0.4336277056277058,22.65,83.5,148.95,203.1,BG sentinel,urban_area
A_SP_DA_1,2020-06-25T00:00:00Z,2020-06-26T00:00:00Z,42.369684,2.83061,0,1,culex,0,2020,6,26,22.1,26.85,17.25,86,0,0.8363636363636363,22.2,20.61428571428572,19.71428571428572,27.24285714285714,25.96428571428572,25.18571428571428,15.57142857142857,14.51428571428572,13.71904761904762,73.42857142857143,75,74.52380952380952,0.1,19.1,30.4,0.5785454545454546,0.5152467532467534,0.4621991341991343,24.1,86.85,151.75,205.35,BG sentinel,urban_area
A_SP_DA_1,2020-06-26T00:00:00Z,2020-06-27T00:00:00Z,42.369684,2.83061,0,1,culex,0,2020,6,26,22.6,27.4,17.75,84.5,0,0.8090909090909091,22.74285714285714,20.64285714285714,19.9,27.91428571428571,25.89285714285714,25.31904761904762,16.4,14.73571428571429,14.00952380952381,74,76,75.0952380952381,0,19.1,30.4,0.6152727272727272,0.5334285714285715,0.4801038961038961,25.15,92.5,156,211.15,BG sentinel,urban_area
A_SP_DA_1,2020-06-27T00:00:00Z,2020-06-28T00:00:00Z,42.369684,2.83061,0,1,culex,0,2020,6,26,23.15,27.55,18.15,85,0,0.8181818181818182,22.97142857142857,20.97142857142857,20.1,27.9,25.94285714285714,25.49047619047619,16.91428571428571,15.12857142857143,14.22380952380952,75.42857142857143,76.78571428571429,75.19047619047619,0,16.5,30.4,0.6412467532467533,0.564987012987013,0.4932640692640693,25.7,96.9,156.2,214.75,BG sentinel,urban_area
A_SP_DA_1,2020-06-28T00:00:00Z,2020-06-29T00:00:00Z,42.369684,2.83061,0,1,culex,0,2020,6,26,23.7,28.45,18.65,80.5,0,0.7363636363636363,22.97142857142857,21.22142857142857,20.43333333333333,27.68571428571429,26.21428571428572,25.78571428571428,17.38571428571429,15.55714285714286,14.47142857142857,78.57142857142857,77.92857142857143,75.28571428571429,0,16.5,22.3,0.6983896103896103,0.5857662337662338,0.5197229437229437,27.1,100.05,160.7,220.2,BG sentinel,urban_area
