"","utm_1x1","rs_ratio","counts","risk"
"1","EG0066",6.01369863013699,21.4806210451326,0.244378138164775
"2","EG0067",6.12935323383085,22.4510554251817,0.260868967181827
"3","EG0068",21.2830188679245,21.346059869533,0.880214938476686
"4","EG0069",5.45665051157781,23.1299674810376,0.238578052457176
"5","EG0070",20.603305785124,22.4849687102767,0.897729783198049
"6","EG0071",16.1159420289855,24.1648582184414,0.753354577804726
"7","EG0072",5.80091272104963,23.6958639735155,0.260570125793146
"8","EG0073",5.91675915649279,23.3009300381344,0.26136871402535
"9","EG0074",5.68441064638783,23.3659771193899,0.251504135160002
"10","EG0075",5.70396523628463,23.0191783234855,0.248529191598016
"11","EG0076",16.3260530421217,23.1709306248167,0.731550007036809
"12","EG0077",5.91318864774624,22.4603458492226,0.251485464711625
"13","EG0078",1.54738706820195,23.5240794814846,0.0629399474310885
"14","EG0079",1.25058740601504,16.1110410514651,0.0311558113188127
"15","EG0080",1.59895988112927,22.4747407422928,0.0620312663413885
"16","EG0081",4.99606299212598,23.0722418248614,0.217179933841069
"17","EG0082",6.09330280480824,24.2460656106385,0.280675971511367
"18","EG0166",3,22.0204591603924,0.120945099953577
"19","EG0167",5.80251346499102,22.5642630428169,0.247803352216952
"20","EG0168",8.47306397306397,22.9309562106841,0.371724154990571
"21","EG0169",5.96976611523103,23.4557156220462,0.26559121384396
"22","EG0170",16.0900321543408,24.0690582553806,0.74911567458493
"23","EG0171",16.032154340836,24.3495564029856,0.755185819137117
"24","EG0172",2.94591517221748,23.217693230338,0.125513418810008
"25","EG0173",5.91318864774624,22.5642492965245,0.25268700818167
"26","EG0174",16.3260530421217,22.5999230631335,0.713318991592971
"27","EG0175",5.79141770776752,22.4073631563508,0.245536692337574
"28","EG0176",5.59027777777778,24.2575981443456,0.256950388383463
"29","EG0177",1.46229107215654,23.8275848570777,0.059893084223852
"30","EG0178",1.25357018460467,23.3443375704834,0.0489824029774974
"31","EG0179",1.21671048119785,14.0169739143661,0.0251057299569752
"32","EG0180",1.27058963953211,22.7450678758841,0.0482703211507668
"33","EG0181",4.86206896551724,24.4337898210619,0.22408019174468
"34","EG0182",6.02850356294537,22.1501743098334,0.25289380086033
"35","EG0266",3.02476515798463,20.9444595817793,0.115646686598613
"36","EG0267",3.02476515798463,22.0265303445129,0.122047499322988
"37","EG0268",5.62929577464789,24.2200061461956,0.258387518843008
"38","EG0269",6.14930555555555,23.8847524619704,0.278986344773614
"39","EG0270",5.60950854700855,22.9647335973404,0.243679757525697
"40","EG0271",1.64613246873553,18.7134427914903,0.0519961151401286
"41","EG0272",17.0836012861736,24.1750404950481,0.79942405513887
"42","EG0273",3.02476515798463,21.7622363514879,0.120484111408083
"43","EG0274",16.9375,23.1463178700638,0.758441780336547
"44","EG0275",15.2676056338028,23.7999049295283,0.702367474653055
"45","EG0276",1.38360535034974,21.1250479286855,0.0489138849256902
"46","EG0277",1.56319000581058,21.777496277361,0.0583275982770627
"47","EG0278",1.26734189141444,23.4600016762352,0.0498977913944208
"48","EG0279",1.50226773957571,21.5526366480884,0.0550723777695364
"49","EG0280",4.99606299212598,24.2049479668664,0.228247011493908
"50","EG0281",1.22801499939519,24.2254001033678,0.0499316469488707
"51","EG0282",1.30073733832951,22.0266095303282,0.0477837315143462
"52","EG0366",3.04907084785134,23.520630641579,0.132003612891522
"53","EG0367",3.21975519499004,22.3605315993612,0.132549955833746
"54","EG0368",2.78927410617551,22.7533690930171,0.115868282812272
"55","EG0369",1.39214250854075,19.3545524731453,0.0444463656779536
"56","EG0370",1.34679101730274,23.2525123692187,0.0529963618216096
"57","EG0371",5.88810429114612,22.9430554694157,0.255942046391197
