trap_name,start_date,end_date,latitude,longitude,AMT,species,females,trapping_effort,year,month,week,TM,TX,TN,HRM,PPT,mwime,TM7,TM14,TM21,TX7,TX14,TX21,TN7,TN14,TN21,HRM7,HRM14,HRM21,PPT7,PPT14,PPT21,mwi7,mwi14,mwi21,l0gdd,l7gdd,l14gdd,l21gdd,trap_type,land_use
A_SP_DA_1,2018-08-04T00:00:00Z,2018-08-05T00:00:00Z,42.369684,2.83061,0,aedes_albopictus,12,1,2018,8,31,30.1,38.45,20.65,53.5,0,0.002909090909090846,26.61428571428572,25.60714285714286,25.12380952380952,33.71428571428572,32.81428571428571,31.74761904761904,19.77142857142857,18.80714285714286,18.51428571428572,72.14285714285714,70.21428571428571,70.0952380952381,0,0.4,10.2,0.4284155844155842,0.4601298701298701,0.4877056277056276,30.65,117.25,213.8,309.35,BG sentinel,urban_area
A_SP_DA_1,2018-08-05T00:00:00Z,2018-08-06T00:00:00Z,42.369684,2.83061,0,aedes_albopictus,5,1,2018,8,31,28.05,34.3,20.65,65.5,0,0.3054545454545454,27.51428571428572,26.05,25.41904761904762,34.97142857142857,33.31428571428571,32.08571428571428,20.34285714285715,18.94285714285714,18.70952380952381,67.28571428571429,69.92857142857143,68.71428571428571,0,0.4,10.2,0.3115324675324674,0.4406493506493506,0.453073593073593,30.65,119.2,215.65,311.05,BG sentinel,urban_area
A_SP_DA_1,2018-08-06T00:00:00Z,2018-08-07T00:00:00Z,42.369684,2.83061,0,aedes_albopictus,1,1,2018,8,32,26.3,32.45,20.25,78.5,0.1,0.5207272727272726,27.6,26.08571428571429,25.49523809523809,35.01428571428571,33.20714285714286,32.18571428571428,20.27142857142857,19.09285714285715,18.77619047619048,67.28571428571429,71.78571428571429,69.47619047619048,0,0.4,0.4,0.2990649350649349,0.4671948051948051,0.4613852813852813,30.25,121.15,215.85,312.35,BG sentinel,urban_area
A_SP_DA_1,2018-08-07T00:00:00Z,2018-08-08T00:00:00Z,42.369684,2.83061,0,aedes_albopictus,1,1,2018,8,32,25.95,31.2,20.1,77,0.1,0.5449090909090906,27.75714285714286,26.37857142857143,25.60476190476191,35.1,33.47857142857143,32.28095238095238,20.48571428571429,19.37142857142857,18.86190476190476,67.28571428571429,71.85714285714286,69.95238095238095,0.1,0.1,0.5,0.2779220779220778,0.4511948051948051,0.4585108225108224,29.45,121.25,217.25,313.85,BG sentinel,urban_area
A_SP_DA_1,2017-08-17T00:00:00Z,2017-08-18T00:00:00Z,42.369684,2.83061,0,aedes_albopictus,6,1,2017,8,33,24.55,31.2,17.55,67.5,0,0.5,22.3,23.47142857142857,23.72857142857143,27.75714285714286,29.11428571428571,29.20952380952381,16.75714285714286,17.89285714285714,18.43333333333333,67.71428571428571,61.85714285714285,67.61904761904762,0.3,1.6,1.6,0.5038961038961038,0.3621818181818181,0.4746320346320345,27.55,97.4,198.25,293.75,BG sentinel,urban_area
A_SP_DA_1,2018-08-09T00:00:00Z,2018-08-10T00:00:00Z,42.369684,2.83061,0,aedes_albopictus,5,1,2018,8,32,23.35,29.6,18.8,73.5,25.9,0.6090909090909091,26.94285714285715,26.32857142857143,25.66666666666667,33.72857142857143,33,32.35714285714285,20.2,19.84285714285715,19.08571428571429,69.71428571428571,72.92857142857143,70.33333333333333,26,26,26.4,0.3897662337662336,0.4697142857142856,0.4647965367965367,28.1,120.35,219.95,315.5,BG sentinel,urban_area
A_SP_DA_1,2018-08-10T00:00:00Z,2018-08-11T00:00:00Z,42.369684,2.83061,0,aedes_albopictus,3,1,2018,8,32,22.8,28.8,17.3,71,0,0.5636363636363636,26.37142857142857,26.07857142857143,25.60476190476191,32.81428571428571,32.45,32.32380952380952,19.85714285714286,19.77857142857143,19.09047619047619,69.71428571428571,73,69.85714285714286,26,26,26.4,0.4178181818181818,0.481142857142857,0.456138528138528,26.1,118.35,219.9,315.6,BG sentinel,urban_area
A_SP_DA_1,2018-08-12T00:00:00Z,2018-08-13T00:00:00Z,42.369684,2.83061,0,aedes_albopictus,2,1,2018,8,32,24.4,29.85,18.5,75.5,0,0.6454545454545454,24.5,26.00714285714286,25.53333333333333,30.35714285714286,32.66428571428572,32.32857142857143,18.88571428571429,19.61428571428572,18.92380952380952,76.14285714285714,71.71428571428571,72,26,26,26.4,0.6039999999999999,0.4577662337662337,0.4950995670995669,28,114.95,218.45,314.9,BG sentinel,urban_area
A_SP_DA_1,2018-08-14T00:00:00Z,2018-08-15T00:00:00Z,42.369684,2.83061,0,aedes_albopictus,2,1,2018,8,33,24.75,29.55,19.2,52,0,0.2181818181818181,23.98571428571429,25.87142857142857,25.58095238095238,29.27142857142857,32.18571428571429,32.07619047619048,18.88571428571429,19.68571428571429,19.20952380952381,71.57142857142857,69.42857142857143,71.76190476190476,25.9,26,26,0.572103896103896,0.425012987012987,0.4914978354978354,28.35,113.2,219.15,315.15,BG sentinel,urban_area
A_SP_DA_1,2018-08-15T00:00:00Z,2018-08-16T00:00:00Z,42.369684,2.83061,0,aedes_albopictus,2,1,2018,8,33,23.7,29.65,15.85,65,0,0.4545454545454545,23.94285714285715,25.71428571428572,25.57619047619048,29.57142857142857,31.88571428571428,31.92857142857143,18.51428571428572,19.42857142857143,19.26190476190476,68.14285714285714,68.07142857142857,71,25.9,26,26,0.5116883116883116,0.4169610389610389,0.4776450216450215,25.1,111.4,218.1,315.35,BG sentinel,urban_area
