any,població_resident,T1,T2,T3,T4,total,població_ETCA,població_ETCA_percentatge,
2021,143762,487,6912,34623,1936,11084,154846,107,7
2020,142624,-19,3276,24272,736,7186,149810,105,0
2019,141339,1501,16151,47790,3486,17338,158677,112,3
2018,140569,2729,16317,50603,3446,18377,158946,113,1
2017,139705,2185,18317,53196,3893,19509,159214,114,0
2016,140118,2737,12540,47111,2684,16306,156424,111,6
2015,139838,2546,14542,51783,3845,18306,158144,113,1
